"% Correct","٪ ﺺﻴﺣ:"
"+ Add User to Group",""
"+ Create a New Form",""
"+ Create a New Group",""
"+ Create a New User",""
"About",""
"Accuracy","ﺎﻟﺪﻗﺓ:"
"Accuracy Level",""
"Accuracy Level:","ﻢﺴﺗﻭﻯ ﺎﻟﺪﻗﺓ:"
"Activity",""
"Add Class","ﺈﺿﺎﻓﺓ ﺺﻓ"
"Add New User",""
"Add Student","ﺈﺿﺎﻓﺓ ﻁﺎﻠﺑ"
"Add User to Group",""
"An update is available. Be sure to first sync your data before installing the update. If you have not done this, click `Cancel`. If you are ready to install the update, click `Yes`","ﺎﻠﺘﺣﺪﻴﺛ ﺄﺼﺒﺣ ﺝﺎﻫﺯًﺍ. ﺕﺄﻛﺩ ﺃﻭﻻ ﻢﻧ ﺖﺤﻤﻴﻟ ﺞﻤﻴﻋ ﺐﻳﺎﻨﺘﻛ ﻖﺒﻟ ﻊﻤﻠﻳﺓ ﺎﻠﺘﺣﺪﻴﺛ.. ﺇﺫﺍ ﻞﻣ ﺖﻘﻣ ﺐﺘﺤﻤﻴﻟ ﺎﻠﺒﻳﺎﻧﺎﺗ ﺎﻀﻐﻃ ﻊﻟﻯ ﺯﺭ`ﺈﻠﻏﺍﺀ`. ﺇﺫﺍ ﻖﻤﺗ ﺐﺘﺤﻤﻴﻟ ﺐﻳﺎﻨﺘﻛ ﻮﺟﺎﻫﺯ ﻞﻠﺘﺣﺪﻴﺛ ﺎﻀﻐﻃ ﺯﺭ `ﻡﻭﺎﻔﻗ ﺃﻭ ﻦﻌﻣ`"
"Applying Updates...","ﺝﺍﺮﻳ ﺎﻠﺘﺣﺪﻴﺛ..."
"April",""
"Are you sure you want to start a form response?","ﻪﻟ ﺄﻨﺗ ﻢﺗﺄﻛﺩ ﻢﻧ ﺎﻠﺑﺩﺀ ﺐﺘﻌﺒﺋﺓ ﺲﺠﻟ ﺖﻘﻴﻴﻣ ﺝﺪﻳﺩ؟"
"Are you sure you would like to exit the form?","ﻪﻟ ﺄﻨﺗ ﻢﺗﺄﻛﺩ ﻢﻧ ﺮﻐﺒﺘﻛ ﻒﻳ ﺎﻠﺧﺭﻮﺟ ﻢﻧ ﺲﺠﻟ ﺎﻠﺘﻘﻴﻴﻣ؟"
"August",""
"Average",""
"Average Correct"," ﻢﺗﻮﺴﻃ ﺍﻺﺟﺎﺑﺎﺗ ﺎﻠﺼﺤﻴﺣﺓ "
"Average Correct (%)","ﻢﺗﻮﺴﻃ ﺍﻺﺟﺎﺑﺎﺗ ﺎﻠﺼﺤﻴﺣﺓ (٪)"
"Case",""
"Cases",""
"Check for Update","ﺖﺤﻘﻗ ﻢﻧ ﺎﻠﺘﺣﺪﻴﺛ"
"Checking","ﺎﻠﺘﺤﻘﻗ ﻢﻧ ﻮﺟﻭﺩ ﺎﻠﺘﺣﺪﻴﺛ"
"Checking For Updates...","ﺝﺍﺮﻳ ﺎﻠﺒﺤﺛ ﻊﻧ ﺖﺣﺪﻴﺛﺎﺗ..."
"Choose a task report from one of the following selections:",""
"Choose which case type",""
"Class Grouping",""
"Class Size","ﻉﺩﺩ ﺎﻠﻄﻠﺑﺓ ﻒﻳ ﺎﻠﺼﻓ..."
"Class grouping","ﺖﺼﻨﻴﻓ ﺎﻠﺼﻓ"
"Click a Picture","ﺎﻀﻐﻃ ﻊﻟﻯ ﺎﻠﺻﻭﺭﺓ"
"Click the play button to get started.","ﺎﻀﻐﻃ ﻊﻟﻯ ﺯﺭ ﺎﺑﺩﺃ ."
"Click to Download",""
"Close",""
"Complete",""
"Confirm New Password","ﺕﺄﻛﺩ ﻢﻧ ﻚﻠﻣﺓ ﺎﻠﺳﺭ ﺎﻠﺟﺪﻳﺩﺓ"
"Confirm Password","ﺕﺄﻛﺩ ﻢﻧ ﻚﻠﻣﺓ ﺎﻠﺳﺭ"
"Continue",""
"Correct","ﺺﺤﻴﺣ"
"Could Not Contact Server.",""
"Could Not Create User","ﻞﻣ ﻲﺘﻤﻜﻧ ﻢﻧ ﺈﻨﺷﺍﺀ ﻢﺴﺘﺧﺪﻣ ﺝﺪﻳﺩ"
"Could Not Generate APK",""
"Could Not Generate PWA",""
"Could Not Load List Of Forms","ﻞﻣ ﻲﺘﻤﻜﻧ ﻢﻧ ﺖﻧﺰﻴﻟ ﻕﺎﺌﻣﺓ ﺎﻠﺴﺟﻼﺗ"
"Create",""
"Create Form","ﺈﻨﺷﺍﺀ ﺲﺠﻟ"
"Create New Case",""
"Current",""
"Curriculum","ﻢﻨﻫﺎﺟ ﺩﺭﺎﺴﻳ"
"DATA QUERIES",""
"Date and Time","ﺎﻠﺗﺍﺮﻴﺧ ﻭﺎﻟﻮﻘﺗ"
"Day",""
"December",""
"Differences",""
"Distance from reference",""
"Docs Not Uploaded","ﻞﻣ ﻲﺘﻣ ﺖﺤﻤﻴﻟ ﺎﻠﻤﻠﻓﺎﺗ"
"Docs Uploaded","ﺖﺤﻤﻴﻟ ﺎﻠﻤﻠﻓﺎﺗ"
"Download CSV","ﺖﻧﺰﻴﻟ ﻢﻠﻓ CSV"
"Download your APK",""
"EXPORT DATA FOR ALL USERS","ﺈﺻﺩﺍﺭ ﺎﻠﺒﻳﺎﻧﺎﺗ ﻞﺠﻤﻴﻋ ﺎﻠﻤﺴﺘﺧﺪﻤﻴﻧ"
"Edit Item","ﺖﻋﺪﻴﻟ ﺎﻠﻔﻗﺭﺓ"
"Email",""
"Enter your response to above question here","ﺄﺠﺑ ﻊﻧ ﺎﻠﺳﺅﺎﻟ ﺄﻋﻼﻫ ﻪﻧﺍ"
"Error Downloading File",""
"Event",""
"Export Data","ﺈﺻﺩﺍﺭ ﺎﻠﺒﻳﺎﻧﺎﺗ"
"Failed to download application configuration file",""
"February",""
"Feedback",""
"File Stored At","ﺖﻣ ﺢﻔﻇ ﺎﻠﻤﻠﻓ ﻒﻳ"
"Filter","ﺖﺼﻔﻳﺓ"
"Find Case",""
"First Name",""
"Form",""
"Form Id",""
"Form Name","ﺄﻨﺸﺋ ﺎﺴﻣ"
"Form Title","ﺄﻨﺸﺋ ﻊﻧﻭﺎﻧ"
"Forms",""
"Generate APK/PWA",""
"Generating CSV",""
"Group",""
"Group Created Succesfully",""
"Group Details",""
"Group Name",""
"Grouping Report",""
"Help",""
"Home",""
"ISSUES",""
"Incomplete",""
